FaultBus,FaultType,Vrms_A,Vrms_B,Vrms_C,Irms_A,Irms_B,Irms_C
1,LG,0.048,0.0488,0.0468,0.8201,1.1063,1.1235
2,LG,0.0519,0.0528,0.0507,0.7914,1.1117,1.1078
3,LG,0.035,0.036,0.034,0.9163,1.142,1.125
4,LG,0.0703,0.0715,0.0694,0.7332,1.1085,1.0908
5,LG,0.0662,0.0674,0.0653,0.751,1.1117,1.0936
6,LG,0.0845,0.0854,0.0834,0.6872,1.0694,1.1147
7,LG,0.0794,0.0807,0.0786,0.7517,1.1106,1.095
8,LG,0.039,0.0402,0.0382,0.9297,1.1513,1.121
9,LG,0.0995,0.1006,0.0986,0.6797,1.0787,1.1033
10,LG,0.0696,0.0706,0.0686,0.8247,1.1015,1.1299
11,LG,0.0532,0.0541,0.0521,0.8967,1.1118,1.1471
12,LG,0.0449,0.0457,0.0436,0.9483,1.1128,1.1667
13,LG,0.0774,0.0784,0.0764,0.7784,1.0798,1.1343
14,LG,0.1046,0.1055,0.1034,0.7181,1.0416,1.1501
1,LL,0.0008,0.0008,0.0012,0.8144,0.8267,1.1973
2,LL,0.0008,0.0008,0.0012,0.7699,0.8332,1.1973
3,LL,0.0009,0.0009,0.0012,0.8842,0.9345,1.1973
4,LL,0.0007,0.0008,0.0012,0.6926,0.8044,1.1973
5,LL,0.0007,0.0008,0.0012,0.7083,0.8127,1.1973
6,LL,0.0008,0.0007,0.0012,0.7441,0.6785,1.1973
7,LL,0.0008,0.0007,0.0012,0.7441,0.6785,1.1973
8,LL,0.0009,0.001,0.0012,0.9007,0.9622,1.1973
9,LL,0.0007,0.0007,0.0012,0.6842,0.682,1.1973
10,LL,0.0008,0.0008,0.0012,0.815,0.78,1.1973
11,LL,0.0009,0.0008,0.0012,0.8988,0.8447,1.1973
12,LL,0.001,0.0009,0.0012,0.9708,0.878,1.1973
13,LL,0.0008,0.0007,0.0012,0.8013,0.7114,1.1973
14,LL,0.001,0.001,0.0012,1.0239,0.9983,1.1973
1,LLL,0.0006601,0.0006469,0.0006626,0.6602,0.6438,0.664
2,LLL,0.0006363,0.0006018,0.000623,0.6317,0.6074,0.6288
3,LLL,0.0007986,0.0007867,0.0008002,0.799,0.7876,0.8006
4,LLL,0.0005456,0.0005005,0.0005257,0.5456,0.5005,0.5257
5,LLL,0.0005695,0.0005077,0.0005433,0.5647,0.5295,0.5544
6,LLL,0.0004709,0.0003883,0.0004977,0.4714,0.4223,0.4545
7,LLL,0.0005285,0.0005448,0.0005258,0.5563,0.51,0.5347
8,LLL,0.0008309,0.0008103,0.0008315,0.8369,0.8127,0.8252
9,LLL,0.0004024,0.0003376,0.0003741,0.4108,0.3475,0.3819
10,LLL,0.0006238,0.0006071,0.0006138,0.6228,0.6007,0.6208
11,LLL,0.0007412,0.0007337,0.0007404,0.7418,0.7286,0.7436
12,LLL,0.0008213,0.0008105,0.000827,0.8219,0.8129,0.8246
13,LLL,0.0005522,0.0005252,0.0005598,0.5552,0.5237,0.5499
14,LLL,0.0012,0.0005,0.0007,1.1775,0.4526,0.7251
1,LLG,0.0495,0.0506,0.0497,0.7422,0.7633,1.0035
2,LLG,0.0537,0.0548,0.054,0.6969,0.7556,0.9863
3,LLG,0.036,0.0374,0.0365,0.8438,0.8824,1.0511
4,LLG,0.0705,0.0713,0.0709,0.6122,0.7055,0.9617
5,LLG,0.0666,0.0675,0.067,0.6319,0.7194,0.9709
6,LLG,0.086,0.0867,0.0862,0.6329,0.5788,0.9363
7,LLG,0.0782,0.0791,0.0788,0.6383,0.7028,0.9744
8,LLG,0.0415,0.0429,0.0424,0.8686,0.9037,1.0497
9,LLG,0.0935,0.0941,0.0939,0.581,0.5769,0.9526
10,LLG,0.0666,0.0676,0.0672,0.7456,0.7206,1.019
11,LLG,0.0519,0.0532,0.0525,0.8422,0.8044,1.0505
12,LLG,0.0439,0.0453,0.0444,0.9195,0.8537,1.075
13,LLG,0.0741,0.075,0.0745,0.7149,0.6458,0.9968
14,LLG,0.0762,0.0762,0.0761,0.9817,0.9433,1.0232
